Time,Open,High,Low,Last,Change,Volume
12/2/2019 12:00,3118.63,3121.37,3112.97,3116.24,-2.43,0
12/2/2019 11:30,3116.2,3119.26,3111.78,3118.67,2.5,0
12/2/2019 11:00,3113.97,3117.34,3110.78,3116.17,2.06,0
12/2/2019 10:30,3121.1,3121.82,3111.93,3114.11,-6.84,0
12/2/2019 10:00,3129.7,3129.7,3117.21,3120.95,-8.69,0
12/2/2019 9:30,3143.85,3144.31,3129.57,3129.64,-11.34,0
11/29/2019 14:30,3140.98,3140.98,3140.98,3140.98,0,0
11/29/2019 13:00,3141.72,3141.73,3140.97,3140.98,-1.61,0
11/29/2019 12:30,3143.52,3144.52,3139.34,3142.59,-0.93,0
11/29/2019 12:00,3146.42,3147,3143.52,3143.52,-2.9,0
11/29/2019 11:30,3146.22,3147.11,3143.43,3146.42,0.14,0
11/29/2019 11:00,3147.76,3147.76,3145.31,3146.28,-1.59,0
11/29/2019 10:30,3148.47,3149.19,3147.07,3147.87,-0.6,0
11/29/2019 10:00,3148.97,3150.3,3147.79,3148.47,-0.59,0
11/29/2019 9:30,3147.18,3150.18,3145.07,3149.06,-4.57,0
11/27/2019 16:30,3153.63,3153.63,3153.63,3153.63,0,0
11/27/2019 16:00,3153.89,3153.89,3153.63,3153.63,-0.32,0
11/27/2019 15:30,3153.5,3154.26,3152.03,3153.95,0.45,0
11/27/2019 15:00,3152.95,3154.16,3152.29,3153.5,0.55,0
11/27/2019 14:30,3153.36,3153.96,3152.64,3152.95,-0.41,0
11/27/2019 14:00,3152.77,3153.44,3152.06,3153.36,0.59,0
11/27/2019 13:30,3152.57,3153.86,3152.35,3152.77,0.23,0
11/27/2019 13:00,3149.29,3152.88,3149.12,3152.54,3.25,0
11/27/2019 12:30,3148.43,3149.71,3148.18,3149.29,0.87,0
11/27/2019 12:00,3148.38,3149.88,3148.32,3148.42,0.02,0
11/27/2019 11:30,3146.42,3148.7,3146.06,3148.4,1.98,0
11/27/2019 11:00,3146.54,3147.12,3144.7,3146.42,-0.09,0
11/27/2019 10:30,3144.98,3147.05,3143.84,3146.51,1.55,0
11/27/2019 10:00,3145.8,3145.83,3143.41,3144.96,-0.42,0
11/27/2019 9:30,3145.49,3146.34,3143.79,3145.38,4.86,0
11/26/2019 17:00,3140.52,3140.52,3140.52,3140.52,0,0
11/26/2019 16:00,3139.72,3140.52,3139.72,3140.52,-0.72,0
11/26/2019 15:30,3136.51,3142.69,3136.5,3141.24,4.75,0
11/26/2019 15:00,3138.08,3138.09,3134.93,3136.49,-1.6,0
11/26/2019 14:30,3137.52,3138.65,3136.41,3138.09,0.57,0
11/26/2019 14:00,3136.98,3138.45,3136.77,3137.52,0.55,0
11/26/2019 13:30,3138.04,3138.15,3135.68,3136.97,-1.06,0
11/26/2019 13:00,3140.38,3140.73,3137.77,3138.03,-2.36,0
11/26/2019 12:30,3141.23,3141.65,3140.06,3140.39,-0.85,0
11/26/2019 12:00,3139.02,3141.25,3138.16,3141.24,2.22,0
11/26/2019 11:30,3138.36,3139.58,3136.2,3139.02,0.66,0
11/26/2019 11:00,3137.05,3139.35,3136.1,3138.36,1.32,0
11/26/2019 10:30,3136.54,3138.28,3135.15,3137.04,0.51,0
11/26/2019 10:00,3138.13,3138.8,3134.79,3136.53,-1.25,0
11/26/2019 9:30,3134.85,3138.55,3131,3137.78,4.14,0
11/25/2019 16:30,3133.64,3133.64,3133.64,3133.64,0,0
11/25/2019 16:00,3133.59,3133.65,3133.52,3133.64,0.44,0
11/25/2019 15:30,3132.49,3133.83,3129.76,3133.2,0.72,0
11/25/2019 15:00,3129.48,3132.52,3129.35,3132.48,3,0
11/25/2019 14:30,3129.27,3129.78,3128.67,3129.48,0.2,0
11/25/2019 14:00,3129.34,3130.28,3128.68,3129.28,-0.07,0
11/25/2019 13:30,3129.8,3130.03,3128.67,3129.35,-0.46,0
11/25/2019 13:00,3129.37,3130.89,3129.37,3129.81,0.45,0
11/25/2019 12:30,3128.17,3129.36,3128.17,3129.36,1.19,0
11/25/2019 12:00,3129.25,3129.77,3127.98,3128.17,-1.11,0
11/25/2019 11:30,3129.23,3129.84,3128.13,3129.28,0.06,0
11/25/2019 11:00,3128.94,3129.58,3127.25,3129.22,0.34,0
11/25/2019 10:30,3129.63,3131.65,3128.81,3128.88,-0.74,0
11/25/2019 10:00,3127.59,3129.87,3127.26,3129.62,2.29,0
11/25/2019 9:30,3117.44,3127.6,3117.44,3127.33,17.04,0
11/22/2019 17:00,3110.29,3110.29,3110.29,3110.29,0,0
11/22/2019 16:00,3110.3,3110.3,3110.09,3110.29,0.27,0
11/22/2019 15:30,3110.17,3110.68,3106.77,3110.02,-0.15,0
11/22/2019 15:00,3109.36,3110.66,3108.73,3110.17,0.85,0
11/22/2019 14:30,3108.51,3110.37,3108.4,3109.32,0.8,0
11/22/2019 14:00,3109.42,3109.49,3107.73,3108.52,-0.89,0
11/22/2019 13:30,3109.45,3109.99,3107.63,3109.41,-0.02,0
11/22/2019 13:00,3108.84,3110.23,3108.5,3109.43,0.61,0
11/22/2019 12:30,3107.8,3109.49,3106.85,3108.82,1.02,0
11/22/2019 12:00,3105.91,3108.16,3105.27,3107.8,1.88,0
