trade_time,open,close,high,low,volume,money
2018-12-04 10:00:00,2651.56,2654.77,2657.01,2645.25,3989582800.0,33749544960.0
2018-12-04 10:30:00,2654.81,2650.69,2657.34,2647.31,2482098000.0,20486840320.0
2018-12-04 11:00:00,2650.8,2656.31,2659.24,2650.41,1875983200.0,15891353600.0
2018-12-04 11:30:00,2655.8,2655.96,2657.93,2652.1,1282785600.0,11611291648.0
2018-12-04 13:30:00,2656.67,2650.71,2656.67,2649.59,1392741600.0,11977990144.0
2018-12-04 14:00:00,2650.69,2650.72,2652.18,2647.03,1357404000.0,12461236224.0
2018-12-04 14:30:00,2650.62,2662.17,2662.26,2649.05,1673563200.0,14463713280.0
2018-12-04 15:00:00,2662.39,2665.96,2666.03,2661.8,2739897600.0,23501430784.0
2018-12-05 10:00:00,2629.83,2645.53,2646.19,2626.66,4616552800.0,38920314880.0
2018-12-05 10:30:00,2645.59,2650.87,2652.01,2641.58,2157200800.0,19806298112.0
2018-12-05 11:00:00,2649.99,2653.61,2654.69,2646.2,1544652800.0,13548175360.0
2018-12-05 11:30:00,2654.09,2660.25,2660.33,2651.65,1351836000.0,11669430272.0
2018-12-05 13:30:00,2660.24,2649.67,2660.24,2647.09,1321776000.0,11293868032.0
2018-12-05 14:00:00,2649.23,2646.66,2650.34,2643.82,1240312000.0,10920747008.0
2018-12-05 14:30:00,2645.79,2650.0,2653.3,2643.06,1330295200.0,11477286912.0
2018-12-05 15:00:00,2650.46,2649.81,2652.13,2647.5,1887579200.0,16094085120.0
2018-12-06 10:00:00,2629.82,2628.84,2632.1,2619.74,3459143600.0,31715500032.0
2018-12-06 10:30:00,2628.7,2624.05,2633.52,2620.18,1837753600.0,16285274112.0
2018-12-06 11:00:00,2623.74,2619.06,2623.9,2616.66,1438782000.0,12522881024.0
2018-12-06 11:30:00,2619.31,2615.82,2619.73,2610.84,1286090400.0,11176431616.0
2018-12-06 13:30:00,2615.38,2605.94,2615.38,2605.66,1624432800.0,16089366528.0
2018-12-06 14:00:00,2605.86,2608.55,2611.09,2603.13,1224467200.0,11237646336.0
2018-12-06 14:30:00,2608.19,2605.83,2610.23,2604.0,1276807200.0,12212101120.0
2018-12-06 15:00:00,2606.43,2605.18,2611.32,2605.08,2018688000.0,17853775872.0
2018-12-07 10:00:00,2609.34,2609.46,2614.18,2604.18,2611942400.0,25234694144.0
2018-12-07 10:30:00,2609.23,2608.03,2611.88,2607.51,1294820000.0,11938676736.0
2018-12-07 11:00:00,2608.1,2600.16,2608.1,2599.94,1153978000.0,10090160128.0
2018-12-07 11:30:00,2599.35,2607.14,2609.54,2599.35,1009086800.0,8862109696.0
2018-12-07 13:30:00,2607.85,2609.35,2610.0,2605.0,883915200.0,7683780608.0
2018-12-07 14:00:00,2609.15,2605.25,2610.27,2603.29,1015316800.0,8959361024.0
2018-12-07 14:30:00,2604.52,2602.82,2606.48,2601.46,1150192800.0,10122444800.0
2018-12-07 15:00:00,2603.05,2605.89,2606.96,2601.86,1788247200.0,14836432896.0
2018-12-10 10:00:00,2589.19,2594.14,2599.76,2588.55,2723378400.0,24419829760.0
2018-12-10 10:30:00,2593.69,2587.65,2596.6,2584.59,1877938400.0,16530368512.0
2018-12-10 11:00:00,2586.85,2586.13,2587.65,2580.45,1206706400.0,10309058560.0
2018-12-10 11:30:00,2585.82,2583.9,2586.88,2580.32,842877600.0,7362510848.0
2018-12-10 13:30:00,2584.27,2581.55,2584.37,2580.02,863506400.0,7609729024.0
2018-12-10 14:00:00,2581.75,2584.82,2584.97,2576.24,1234762400.0,10505162752.0
2018-12-10 14:30:00,2584.54,2590.5,2591.64,2583.47,1022205600.0,8933793792.0
2018-12-10 15:00:00,2590.42,2584.58,2590.53,2582.85,1548592000.0,13477691392.0
2018-12-11 10:00:00,2587.01,2589.83,2596.12,2587.01,2412003400.0,19731165184.0
2018-12-11 10:30:00,2589.3,2586.99,2592.4,2585.51,1388683400.0,12264226816.0
2018-12-11 11:00:00,2587.04,2588.29,2590.35,2585.01,938958400.0,7956611072.0
2018-12-11 11:30:00,2587.44,2591.75,2595.62,2586.46,1016006000.0,8537956352.0
2018-12-11 13:30:00,2592.69,2590.01,2592.69,2588.47,776908400.0,6568706048.0
2018-12-11 14:00:00,2589.55,2585.29,2590.83,2584.05,1003582800.0,8386912256.0
2018-12-11 14:30:00,2584.74,2585.68,2588.72,2583.21,1037008000.0,8643358720.0
2018-12-11 15:00:00,2586.47,2594.09,2594.09,2585.62,1557286400.0,13315186688.0
2018-12-12 10:00:00,2608.11,2607.32,2609.93,2600.47,2711667200.0,23373189120.0
2018-12-12 10:30:00,2607.29,2602.21,2607.35,2601.84,1292877200.0,11103121408.0
2018-12-12 11:00:00,2602.77,2600.5,2602.92,2598.42,1013052000.0,8437465088.0
2018-12-12 11:30:00,2599.88,2599.16,2600.69,2596.65,806706800.0,6864822272.0
2018-12-12 13:30:00,2599.52,2603.62,2603.9,2596.47,924593600.0,7747952640.0
2018-12-12 14:00:00,2603.36,2598.62,2603.53,2597.73,824996000.0,7191240704.0
2018-12-12 14:30:00,2598.15,2606.78,2608.46,2595.14,1282876800.0,11246411776.0
2018-12-12 15:00:00,2606.97,2602.15,2607.64,2601.23,1495060800.0,13033996288.0
2018-12-13 10:00:00,2607.14,2608.71,2609.01,2599.48,2520715600.0,22210457600.0
2018-12-13 10:30:00,2608.64,2629.53,2629.53,2608.46,2320806400.0,20450988032.0
2018-12-13 11:00:00,2629.97,2638.09,2638.21,2629.71,2515218800.0,21879681024.0
2018-12-13 11:30:00,2638.3,2643.8,2644.2,2634.93,1848890400.0,16127725568.0
2018-12-13 13:30:00,2644.31,2638.84,2645.78,2638.84,1653202400.0,14184955904.0
2018-12-13 14:00:00,2638.93,2637.01,2640.09,2634.56,1219897600.0,11188813824.0
2018-12-13 14:30:00,2637.2,2633.88,2638.88,2633.42,1175450400.0,10610188288.0
2018-12-13 15:00:00,2634.52,2634.05,2636.9,2632.17,1819629600.0,15743295488.0
2018-12-14 10:00:00,2627.28,2625.0,2628.89,2621.67,2542318400.0,22668597248.0
2018-12-14 10:30:00,2625.16,2617.36,2625.2,2616.72,1750301600.0,15199516672.0
2018-12-14 11:00:00,2617.52,2615.52,2617.7,2610.66,1441268000.0,12120612864.0
2018-12-14 11:30:00,2616.2,2619.07,2620.79,2614.43,1061744800.0,9269592064.0
2018-12-14 13:30:00,2619.1,2618.67,2622.63,2615.25,1216670400.0,10369273856.0
2018-12-14 14:00:00,2618.7,2609.89,2619.23,2608.54,1730517600.0,14420746240.0
2018-12-14 14:30:00,2609.34,2603.5,2610.56,2601.54,1879948800.0,15542550528.0
2018-12-14 15:00:00,2604.3,2593.74,2605.59,2593.74,2971480000.0,24134098944.0
2018-12-17 10:00:00,2587.26,2579.58,2595.9,2578.2,3132771800.0,28036120576.0
2018-12-17 10:30:00,2579.05,2583.7,2585.24,2573.87,1781507400.0,16224976896.0
2018-12-17 11:00:00,2582.94,2597.05,2598.33,2582.19,1405764800.0,11953717248.0
2018-12-17 11:30:00,2597.75,2593.98,2598.97,2592.13,912049600.0,7972827136.0
2018-12-17 13:30:00,2594.07,2596.0,2598.16,2590.82,924339200.0,7888654336.0
2018-12-17 14:00:00,2595.81,2594.2,2598.01,2592.63,943172800.0,7953498112.0
2018-12-17 14:30:00,2594.55,2591.04,2596.2,2589.75,1013184800.0,8896495616.0
2018-12-17 15:00:00,2590.91,2597.97,2597.97,2588.8,1623534400.0,14034558976.0
2018-12-18 10:00:00,2583.63,2598.52,2598.78,2582.96,2287853000.0,19875708928.0
2018-12-18 10:30:00,2598.26,2586.43,2599.15,2583.81,1522639800.0,12908298240.0
2018-12-18 11:00:00,2586.05,2581.62,2587.5,2581.28,1062872000.0,9519403008.0
2018-12-18 11:30:00,2581.0,2569.65,2581.0,2565.51,1715130400.0,14119972864.0
2018-12-18 13:30:00,2569.86,2573.48,2574.55,2564.39,1198637600.0,10125484032.0
2018-12-18 14:00:00,2572.3,2565.71,2573.12,2564.55,992566400.0,8483184640.0
2018-12-18 14:30:00,2564.79,2579.14,2580.49,2563.57,1319366400.0,10793672704.0
2018-12-18 15:00:00,2579.59,2576.65,2585.11,2576.43,1604271200.0,13480812544.0
2018-12-19 10:00:00,2578.68,2575.27,2579.87,2570.6,2207170600.0,18371297280.0
2018-12-19 10:30:00,2574.95,2566.87,2575.24,2566.87,1319171800.0,11934595072.0
2018-12-19 11:00:00,2567.04,2563.34,2568.24,2562.34,1070166400.0,9891137536.0
2018-12-19 11:30:00,2563.92,2570.18,2572.82,2563.92,977181600.0,8057458688.0
2018-12-19 13:30:00,2570.22,2567.34,2571.19,2566.39,797925600.0,7048265728.0
2018-12-19 14:00:00,2567.3,2563.08,2567.81,2560.64,1048200800.0,9500688384.0
2018-12-19 14:30:00,2563.28,2557.58,2563.85,2556.55,1358083200.0,11890618368.0
2018-12-19 15:00:00,2557.23,2549.56,2557.84,2547.08,1988280000.0,17019117568.0
2018-12-20 10:00:00,2544.51,2530.45,2554.86,2529.85,2769357000.0,23816417280.0
2018-12-20 10:30:00,2530.4,2535.48,2542.44,2530.14,1719328600.0,14326034432.0
2018-12-20 11:00:00,2535.87,2538.12,2539.79,2528.89,1143212400.0,9946468352.0
2018-12-20 11:30:00,2537.93,2528.73,2540.23,2528.01,926952400.0,8004317184.0
2018-12-20 13:30:00,2528.76,2518.28,2528.76,2518.12,1255622400.0,11214753792.0
2018-12-20 14:00:00,2517.89,2536.66,2539.9,2516.02,1542314400.0,13153546240.0
2018-12-20 14:30:00,2536.54,2534.98,2537.16,2528.72,1091748000.0,9333850112.0
2018-12-20 15:00:00,2534.96,2536.27,2536.27,2530.93,1608114400.0,13709598720.0
2018-12-21 10:00:00,2526.55,2513.2,2527.24,2511.84,2633508200.0,23356082176.0
2018-12-21 10:30:00,2512.56,2512.54,2514.94,2507.06,1527291800.0,13614180352.0
2018-12-21 11:00:00,2512.96,2514.61,2516.15,2510.7,1211287200.0,10364768256.0
2018-12-21 11:30:00,2514.68,2510.78,2516.46,2503.96,1179033600.0,10233327616.0
2018-12-21 13:30:00,2510.72,2507.53,2511.78,2505.61,886980000.0,7999336448.0
2018-12-21 14:00:00,2507.42,2507.05,2509.07,2503.04,1150446400.0,9855361024.0
2018-12-21 14:30:00,2506.75,2505.08,2507.28,2498.82,1242297600.0,10782187520.0
2018-12-21 15:00:00,2505.21,2516.25,2516.25,2503.84,1736275200.0,15155380224.0
2018-12-24 10:00:00,2506.74,2521.64,2521.64,2500.44,2325254000.0,21123280896.0
2018-12-24 10:30:00,2521.5,2519.52,2525.59,2517.32,1555054800.0,14206803968.0
2018-12-24 11:00:00,2519.63,2517.08,2522.15,2513.45,1108108800.0,9749299200.0
2018-12-24 11:30:00,2517.53,2520.58,2521.74,2516.94,677471600.0,6009368576.0
2018-12-24 13:30:00,2521.09,2521.1,2524.41,2518.42,731892400.0,6477643776.0
2018-12-24 14:00:00,2520.93,2514.63,2522.14,2513.97,871024800.0,7299649536.0
2018-12-24 14:30:00,2514.32,2521.39,2521.39,2514.32,889141600.0,7164768256.0
2018-12-24 15:00:00,2521.33,2527.01,2529.44,2520.29,1576037600.0,13730119680.0
2018-12-25 10:00:00,2503.95,2489.5,2503.95,2481.69,3466033300.0,28389024128.0
2018-12-25 10:30:00,2489.37,2472.68,2489.37,2472.66,2094194000.0,15880914944.0
2018-12-25 11:00:00,2473.05,2471.93,2474.8,2468.82,1710995600.0,12944244736.0
2018-12-25 11:30:00,2471.39,2466.29,2472.74,2462.84,1153602400.0,9132777472.0
2018-12-25 13:30:00,2467.28,2475.81,2476.79,2465.84,974656000.0,8159358976.0
2018-12-25 14:00:00,2475.23,2491.69,2492.82,2475.02,1236776800.0,10658054144.0
2018-12-25 14:30:00,2491.97,2504.74,2513.92,2491.76,1724076000.0,15084503040.0
2018-12-25 15:00:00,2504.89,2504.82,2508.74,2502.72,1644494400.0,14033485824.0
2018-12-26 10:00:00,2501.12,2509.09,2513.76,2500.78,2330745600.0,20857454592.0
2018-12-26 10:30:00,2509.09,2501.25,2509.19,2499.5,1305628400.0,11230322688.0
2018-12-26 11:00:00,2501.17,2502.67,2503.88,2494.54,1027269600.0,8931672064.0
2018-12-26 11:30:00,2502.84,2504.33,2504.36,2500.03,751748400.0,6509039616.0
2018-12-26 13:30:00,2504.57,2495.93,2505.18,2493.02,1008678400.0,8721555456.0
2018-12-26 14:00:00,2495.6,2496.96,2497.87,2492.08,1149286400.0,9928085504.0
2018-12-26 14:30:00,2496.79,2501.05,2505.39,2496.17,1340011200.0,11026219008.0
2018-12-26 15:00:00,2501.04,2498.29,2505.97,2497.73,1966595200.0,16785186816.0
2018-12-27 10:00:00,2527.72,2518.42,2532.0,2512.72,3701877600.0,32003620864.0
2018-12-27 10:30:00,2518.54,2514.34,2518.83,2512.07,1458030000.0,11929038848.0
2018-12-27 11:00:00,2514.82,2510.48,2519.03,2510.48,1078922000.0,9019076608.0
2018-12-27 11:30:00,2510.7,2512.35,2513.3,2509.62,793746400.0,6437179392.0
2018-12-27 13:30:00,2512.01,2495.6,2512.83,2495.6,1169450400.0,9387978752.0
2018-12-27 14:00:00,2495.36,2492.84,2500.25,2492.71,1237396800.0,10084376576.0
2018-12-27 14:30:00,2492.53,2493.43,2497.17,2489.77,1375931200.0,11245027328.0
2018-12-27 15:00:00,2494.01,2483.09,2495.5,2483.09,2725330400.0,22373466112.0
2018-12-28 10:00:00,2483.62,2486.17,2493.12,2478.34,2923367000.0,24418180352.0
2018-12-28 10:30:00,2485.97,2500.57,2500.57,2485.03,1658008400.0,14406344704.0
2018-12-28 11:00:00,2500.55,2497.87,2505.11,2494.91,1120876400.0,9654759424.0
2018-12-28 11:30:00,2497.77,2486.9,2499.74,2485.75,979937200.0,8038649856.0
2018-12-28 13:30:00,2486.78,2493.28,2495.53,2486.78,926476400.0,8908525568.0
2018-12-28 14:00:00,2493.46,2495.41,2497.28,2492.49,897839200.0,8877309952.0
2018-12-28 14:30:00,2495.92,2492.01,2495.92,2488.8,1178490400.0,11261231104.0
2018-12-28 15:00:00,2491.74,2493.9,2495.9,2487.48,2233675200.0,20363632640.0
2019-01-02 10:00:00,2497.88,2468.4,2500.28,2467.49,3043081400.0,27124782196.0
2019-01-02 10:30:00,2468.27,2468.63,2471.9,2465.8,1404251700.0,12701585709.0
2019-01-02 11:00:00,2468.17,2468.67,2471.11,2462.66,1068650000.0,9796605240.0
2019-01-02 11:30:00,2468.5,2468.21,2469.62,2464.63,804723700.0,7469040684.0
2019-01-02 13:30:00,2468.73,2461.79,2469.11,2460.52,1032670600.0,8927997726.0
2019-01-02 14:00:00,2461.04,2457.83,2463.51,2456.73,1050344600.0,9246876980.0
2019-01-02 14:30:00,2457.21,2467.61,2467.61,2456.42,1102374600.0,9661525819.0
2019-01-02 15:00:00,2467.49,2465.29,2469.32,2463.13,1486250200.0,12656108548.0
2019-01-03 10:00:00,2461.78,2475.93,2478.47,2456.08,2858693000.0,25163728896.0
2019-01-03 10:30:00,2475.89,2472.96,2488.48,2471.18,2580581400.0,21837789184.0
2019-01-03 11:00:00,2472.14,2465.6,2473.46,2465.23,1286416000.0,11109105664.0
